index,Country Key,Country,Date,Precipitation,Temp Avg,Temp Max,Temp Min
113,3,Argentina,2/22/2020,,61.0,,44.0
114,3,Argentina,2/23/2020,,67.0,,48.0
115,3,Argentina,2/24/2020,,67.0,87.0,51.0
116,3,Argentina,2/25/2020,,65.0,,43.0
117,3,Argentina,2/26/2020,,66.0,,49.0
118,3,Argentina,2/27/2020,,71.0,,52.0
119,3,Argentina,2/28/2020,,74.0,89.0,54.0
120,3,Argentina,2/29/2020,,73.0,86.0,55.0
94,3,Argentina,2/3/2020,0.16,72.0,,56.0
95,3,Argentina,2/4/2020,0.0,74.0,,56.0
96,3,Argentina,2/5/2020,,66.0,90.0,56.0
97,3,Argentina,2/6/2020,,64.0,75.0,56.0
98,3,Argentina,2/7/2020,0.47,67.0,78.0,56.0
99,3,Argentina,2/8/2020,0.35,67.0,78.0,55.0
100,3,Argentina,2/9/2020,0.08,65.0,,58.0
121,3,Argentina,3/1/2020,,73.0,87.0,56.0
122,3,Argentina,3/2/2020,0.01,75.0,89.0,58.0
123,4,Armenia,1/22/2020,0.0,13.0,31.0,4.0
124,4,Armenia,1/23/2020,0.0,15.0,30.0,5.0
125,4,Armenia,1/24/2020,0.0,16.0,23.0,
126,4,Armenia,1/25/2020,0.0,4.0,27.0,-8.0
127,4,Armenia,1/26/2020,0.0,13.0,35.0,-4.0
128,4,Armenia,1/27/2020,0.0,17.0,36.0,6.0
129,4,Armenia,1/28/2020,0.0,14.0,31.0,5.0
130,4,Armenia,1/29/2020,0.0,22.0,36.0,12.0
131,4,Armenia,1/30/2020,0.0,26.0,36.0,17.0
132,4,Armenia,1/31/2020,0.0,34.0,41.0,
133,4,Armenia,2/1/2020,0.04,26.0,30.0,
141,4,Armenia,2/10/2020,0.08,8.0,14.0,0.0
142,4,Armenia,2/11/2020,0.08,9.0,20.0,-8.0
143,4,Armenia,2/12/2020,0.0,15.0,26.0,2.0
144,4,Armenia,2/13/2020,0.0,22.0,28.0,19.0
145,4,Armenia,2/14/2020,0.0,18.0,25.0,
146,4,Armenia,2/15/2020,0.0,11.0,26.0,-2.0
147,4,Armenia,2/16/2020,0.0,17.0,33.0,6.0
148,4,Armenia,2/17/2020,,23.0,27.0,21.0
149,4,Armenia,2/18/2020,,25.0,33.0,18.0
150,4,Armenia,2/19/2020,0.0,25.0,33.0,16.0
134,4,Armenia,2/2/2020,0.12,17.0,30.0,6.0
151,4,Armenia,2/20/2020,,31.0,36.0,26.0
152,4,Armenia,2/21/2020,,31.0,41.0,27.0
153,4,Armenia,2/22/2020,0.0,29.0,40.0,23.0
154,4,Armenia,2/23/2020,0.0,30.0,40.0,24.0
155,4,Armenia,2/24/2020,0.0,33.0,44.0,23.0
156,4,Armenia,2/25/2020,0.0,30.0,40.0,
157,4,Armenia,2/26/2020,0.0,17.0,33.0,5.0
158,4,Armenia,2/27/2020,0.0,23.0,39.0,11.0
159,4,Armenia,2/28/2020,0.0,31.0,44.0,18.0
160,4,Armenia,2/29/2020,0.0,33.0,41.0,27.0
135,4,Armenia,2/3/2020,0.0,21.0,36.0,12.0
136,4,Armenia,2/4/2020,0.0,29.0,34.0,20.0
137,4,Armenia,2/5/2020,0.0,31.0,39.0,23.0
138,4,Armenia,2/6/2020,0.0,39.0,45.0,36.0
139,4,Armenia,2/7/2020,0.0,36.0,43.0,
140,4,Armenia,2/8/2020,0.21,28.0,33.0,
161,4,Armenia,3/1/2020,0.08,36.0,40.0,30.0
162,4,Armenia,3/2/2020,0.08,31.0,37.0,28.0
163,5,Australia,1/22/2020,0.0,82.0,91.0,69.0
164,5,Australia,1/23/2020,0.0,90.0,111.0,72.0
165,5,Australia,1/24/2020,0.0,75.0,80.0,72.0
166,5,Australia,1/25/2020,0.06,80.0,85.0,71.0
167,5,Australia,1/26/2020,0.01,83.0,100.0,75.0
168,5,Australia,1/27/2020,0.0,78.0,83.0,72.0
169,5,Australia,1/28/2020,0.0,78.0,86.0,72.0
170,5,Australia,1/29/2020,0.0,75.0,81.0,72.0
171,5,Australia,1/30/2020,0.0,80.0,89.0,69.0
172,5,Australia,1/31/2020,0.0,83.0,93.0,74.0
173,5,Australia,2/1/2020,0.0,86.0,100.0,76.0
182,5,Australia,2/10/2020,6.41,75.0,83.0,67.0
183,5,Australia,2/11/2020,0.0,77.0,87.0,69.0
184,5,Australia,2/12/2020,0.0,74.0,80.0,71.0
185,5,Australia,2/13/2020,0.58,75.0,81.0,70.0
186,5,Australia,2/14/2020,0.0,72.0,78.0,70.0
187,5,Australia,2/15/2020,0.0,73.0,79.0,65.0
188,5,Australia,2/16/2020,0.05,72.0,77.0,68.0
189,5,Australia,2/17/2020,0.05,73.0,77.0,68.0
190,5,Australia,2/18/2020,0.02,78.0,89.0,69.0
191,5,Australia,2/19/2020,0.51,74.0,87.0,69.0
174,5,Australia,2/2/2020,0.0,74.0,79.0,74.0
192,5,Australia,2/20/2020,0.0,71.0,75.0,65.0
193,5,Australia,2/21/2020,0.0,,78.0,67.0
194,5,Australia,2/22/2020,0.02,71.0,,64.0
195,5,Australia,2/23/2020,,74.0,,
196,5,Australia,2/24/2020,,76.0,,
197,5,Australia,2/25/2020,,79.0,,
198,5,Australia,2/26/2020,,77.0,,
199,5,Australia,2/27/2020,,73.0,,
200,5,Australia,2/28/2020,,71.0,,
201,5,Australia,2/29/2020,,74.0,,
175,5,Australia,2/3/2020,1.08,72.0,88.0,70.0
